year,month,SAM_index,SAM_9m_rolling,SAM_12m_rolling
2000,1,1.2734,,
2000,2,0.6197,,
2000,3,0.1331,,
2000,4,0.2327,,
2000,5,1.1271,,
2000,6,0.1172,0.5838666666666666,
2000,7,0.0586,0.5088285714285715,
2000,8,-0.6735,0.3610375,
2000,9,-1.8529,0.11504444444444445,0.11504444444444445
2000,10,0.347,0.012111111111111109,0.13824
2000,11,-1.5371,-0.22753333333333334,-0.01406363636363635
2000,12,-1.2903,-0.3856888888888889,-0.12041666666666666
2001,1,-0.4709,-0.4638666666666667,-0.265775
2001,2,-0.2649,-0.6185333333333333,-0.3394916666666667
2001,3,-0.5548,-0.6931999999999999,-0.3968166666666666
2001,4,0.515,-0.6424888888888889,-0.37329166666666663
2001,5,-0.2622,-0.5967888888888888,-0.4890666666666667
2001,6,0.3861,-0.34801111111111105,-0.46665833333333334
2001,7,-0.9283,-0.4897111111111111,-0.5489
2001,8,0.9103,-0.21777777777777774,-0.4169166666666666
2001,9,1.1614,0.05463333333333336,-0.16572499999999998
2001,10,1.2771,0.24885555555555555,-0.08821666666666668
2001,11,0.9958,0.38893333333333335,0.12285833333333333
2001,12,1.4736,0.6143111111111111,0.35318333333333335
2002,1,0.7469,0.6400777777777777,0.4546666666666667
2002,2,1.3341,0.8174444444444444,0.5879166666666666
2002,3,-1.8235,0.5719333333333334,0.48219166666666674
2002,4,0.165,0.6934111111111112,0.453025
2002,5,-2.7985,0.28132222222222225,0.2416666666666666
2002,6,-1.112,0.02872222222222219,0.11682499999999996
2002,7,-0.5909,-0.17883333333333334,0.14494166666666664
2002,8,-0.0994,-0.30052222222222225,0.06079999999999997
2002,9,-0.8645,-0.5603111111111111,-0.10802500000000004
2002,10,-2.564,-0.9281888888888888,-0.4281166666666667
2002,11,-0.9235,-1.1790333333333334,-0.5880583333333333
2002,12,1.3085,-0.8310333333333334,-0.6018166666666668
2003,1,-0.9879,-0.9591333333333334,-0.7463833333333335
2003,2,-0.3569,-0.6878444444444445,-0.8873000000000001
2003,3,-0.1877,-0.5851444444444445,-0.7509833333333334
2003,4,0.2243,-0.4945666666666667,-0.7460416666666667
2003,5,0.3845,-0.4408,-0.48079166666666673
2003,6,-0.7745,-0.4308,-0.4526666666666667
2003,7,0.727,-0.06513333333333332,-0.3428416666666667
2003,8,0.678,0.11281111111111113,-0.27805833333333335
2003,9,-0.3231,-0.06847777777777776,-0.23294166666666669
2003,10,-0.0249,0.038522222222222235,-0.02134999999999999
2003,11,-0.7117,-0.0008999999999999872,-0.00369999999999999
2003,12,-1.3229,-0.1270333333333333,-0.2229833333333333
2004,1,0.8071,-0.06227777777777774,-0.07339999999999999
2004,2,-1.1819,-0.23632222222222218,-0.14215
2004,3,0.4317,-0.10229999999999999,-0.09053333333333331
2004,4,0.151,-0.1663,-0.09664166666666664
2004,5,0.4596,-0.19056666666666663,-0.09038333333333332
2004,6,1.1954,-0.02184444444444443,0.07377500000000002
2004,7,1.4743,0.14473333333333335,0.13605
2004,8,-0.0712,0.21590000000000006,0.07361666666666666
2004,9,0.2536,0.3910666666666667,0.12167499999999999
2004,10,-0.0425,0.2966666666666667,0.12020833333333335
2004,11,-0.2422,0.4010777777777778,0.15933333333333333
2004,12,-0.9729,0.2450111111111111,0.1885
2005,1,-0.1287,0.21393333333333334,0.11051666666666665
2005,2,1.2435,0.3010333333333333,0.3126333333333333
2005,3,0.1583,0.18580000000000002,0.28985
2005,4,0.3554,0.06147777777777779,0.30688333333333334
2005,5,-0.2973,0.036355555555555565,0.24380833333333332
2005,6,-1.4277,-0.15045555555555554,0.025216666666666665
2005,7,-0.252,-0.17373333333333332,-0.11864166666666666
2005,8,0.2282,-0.12146666666666667,-0.09369166666666667
2005,9,0.2407,0.013377777777777797,-0.09476666666666667
2005,10,0.031,0.031122222222222242,-0.08864166666666666
2005,11,-0.5515,-0.1683222222222222,-0.11441666666666665
2005,12,-1.9678,-0.40455555555555556,-0.19732499999999997
2006,1,0.3389,-0.40638888888888886,-0.15835833333333335
2006,2,-0.2113,-0.3968333333333333,-0.2795916666666666
2006,3,0.5006,-0.18257777777777776,-0.2510666666666666
2006,4,-0.1693,-0.17338888888888887,-0.2947916666666666
2006,5,1.6954,-0.010366666666666635,-0.1287333333333333
2006,6,0.438,0.011555555555555585,0.026741666666666688
2006,7,0.9255,0.11094444444444447,0.12486666666666668
2006,8,-1.7271,-0.019677777777777756,-0.03807499999999999
2006,9,-0.3241,0.16295555555555558,-0.08514166666666666
2006,10,0.8792,0.22298888888888888,-0.014458333333333332
2006,11,0.1013,0.25772222222222224,0.039941666666666674
2006,12,0.6384,0.27303333333333335,0.257125
2007,1,-0.0828,0.2826444444444444,0.22198333333333334
2007,2,0.0749,0.1025888888888889,0.24583333333333335
2007,3,-0.5701,-0.009422222222222228,0.15660833333333332
2007,4,-1.0352,-0.22727777777777775,0.08444999999999998
2007,5,-0.6119,-0.10336666666666665,-0.10782500000000002
2007,6,-1.198,-0.20046666666666665,-0.24415833333333334
2007,7,-2.6307,-0.5904555555555555,-0.5405083333333334
2007,8,-0.1079,-0.6137,-0.405575
2007,9,0.0305,-0.6812444444444444,-0.37602500000000005
2007,10,-0.4337,-0.7202333333333333,-0.4854333333333334
2007,11,-0.9838,-0.8378666666666666,-0.5758583333333332
2007,12,1.9293,-0.5601555555555555,-0.4682833333333334
2008,1,1.2085,-0.31085555555555555,-0.3606749999999999
2008,2,1.1474,-0.11537777777777777,-0.27130000000000004
2008,3,0.5875,0.0830111111111111,-0.1748333333333333
2008,4,-0.8734,0.2782666666666667,-0.16135
2008,5,-0.4898,0.23583333333333334,-0.15117499999999998
2008,6,1.3484,0.3822666666666667,0.061024999999999996
2008,7,0.3202,0.46603333333333335,0.30693333333333334
2008,8,0.087,0.5850111111111111,0.323175
2008,9,1.3856,0.5246,0.4361
2008,10,1.2149,0.5253111111111112,0.5734833333333333
2008,11,0.9197,0.5000111111111111,0.7321083333333332
2008,12,1.1938,0.5673777777777778,0.6708166666666666
2009,1,0.9626,0.7713777777777778,0.6503249999999999
2009,2,0.4558,0.8764444444444445,0.5926916666666666
2009,3,0.6046,0.7938000000000001,0.5941166666666667
2009,4,0.0292,0.7614666666666667,0.6693333333333333
2009,5,-0.7328,0.6703777777777779,0.6490833333333333
2009,6,-0.47,0.46420000000000006,0.49754999999999994
2009,7,-1.2342,0.19207777777777782,0.36801666666666666
2009,8,-0.6856,0.01371111111111113,0.30363333333333337
2009,9,-0.0165,-0.12076666666666663,0.18679166666666666
2009,10,0.0848,-0.21829999999999997,0.09261666666666668
2009,11,-1.9151,-0.4817333333333333,-0.14361666666666664
2009,12,0.6068,-0.4814888888888889,-0.1925333333333333
2010,1,-0.7569,-0.5688333333333333,-0.335825
2010,2,-0.7752,-0.5735444444444444,-0.4384083333333333
2010,3,0.1083,-0.5092888888888889,-0.4797666666666666
2010,4,0.3774,-0.3302222222222222,-0.45075
2010,5,1.021,-0.14059999999999997,-0.3046
2010,6,2.0707,0.09131111111111112,-0.092875
2010,7,2.4237,0.35118888888888894,0.21195
2010,8,1.5101,0.7317666666666667,0.394925
2010,9,0.4018,0.7089888888888889,0.42978333333333335
2010,10,1.3349,0.9414111111111111,0.5339583333333334
2010,11,1.5163,1.1960222222222223,0.8199083333333334
2010,12,0.2054,1.206811111111111,0.7864583333333334
2011,1,0.0524,1.1707,0.8538999999999999
2011,2,1.0738,1.1765666666666668,1.0079833333333332
2011,3,-0.2962,0.9135777777777777,0.974275
2011,4,-0.87,0.547611111111111,0.8703249999999999
2011,5,1.2657,0.5204555555555556,0.8907166666666667
2011,6,-0.099,0.4648111111111111,0.7099083333333334
2011,7,-1.3842,0.16268888888888888,0.39258333333333334
2011,8,-1.202,-0.13934444444444444,0.166575
2011,9,-1.25,-0.3010555555555556,0.028924999999999996
2011,10,0.3882,-0.26374444444444445,-0.049966666666666666
2011,11,-0.9075,-0.4838888888888888,-0.25194999999999995
2011,12,2.5735,-0.16503333333333334,-0.054608333333333293
2012,1,1.5833,0.10755555555555554,0.07296666666666668
2012,2,-0.2831,-0.06453333333333336,-0.04010833333333333
2012,3,0.2748,-0.023000000000000027,0.007475000000000005
2012,4,0.6656,0.20475555555555552,0.13544166666666665
2012,5,0.1528,0.3552888888888888,0.042700000000000016
2012,6,-0.1971,0.47227777777777774,0.03452500000000001
2012,7,1.2593,0.5690666666666666,0.2548166666666667
2012,8,0.4888,0.724211111111111,0.3957166666666667
2012,9,0.5624,0.5007555555555556,0.54675
2012,10,-0.4442,0.27547777777777777,0.4773833333333333
2012,11,-1.7009,0.11794444444444444,0.41126666666666667
2012,12,-0.7635,0.002577777777777753,0.13318333333333332
2013,1,0.071,-0.06348888888888891,0.007158333333333335
2013,2,0.7156,-0.0009555555555555736,0.09038333333333333
2013,3,1.3748,0.1737,0.18205000000000002
2013,4,0.6106,0.10162222222222221,0.17746666666666666
2013,5,0.3596,0.08726666666666666,0.1947
2013,6,-0.2711,-0.005344444444444467,0.18853333333333333
2013,7,0.9453,0.14904444444444442,0.1623666666666667
2013,8,-1.5609,0.16460000000000002,-0.008441666666666662
2013,9,-1.6583,0.06517777777777775,-0.1935
2013,10,-0.4576,0.0064444444444444375,-0.19461666666666666
2013,11,0.1888,-0.0520888888888889,-0.03714166666666668
2013,12,0.0613,-0.19803333333333334,0.03159166666666666
2014,1,-0.6826,-0.3417222222222222,-0.03120833333333334
2014,2,0.3222,-0.3458777777777778,-0.06399166666666667
2014,3,0.467,-0.2638666666666667,-0.13964166666666666
2014,4,0.6137,-0.3007111111111111,-0.13938333333333333
2014,5,-0.4452,-0.17674444444444448,-0.20645
2014,6,0.8412,0.10097777777777776,-0.11375833333333334
2014,7,0.247,0.17926666666666666,-0.17195000000000005
2014,8,-0.0589,0.1517444444444444,-0.04678333333333335
2014,9,-1.1189,0.020611111111111087,-0.0018333333333333535
2014,10,-0.039,0.09212222222222219,0.03304999999999998
2014,11,-0.5192,-0.0013666666666667011,-0.025950000000000018
2014,12,1.3222,0.09365555555555553,0.07912499999999999
2015,1,0.6747,0.1004333333333333,0.19223333333333334
2015,2,1.2165,0.28506666666666663,0.2667583333333333
2015,3,0.7733,0.27752222222222217,0.2922833333333333
2015,4,1.0286,0.3643666666666666,0.3268583333333333
2015,5,0.4156,0.41708888888888884,0.3985916666666667
2015,6,0.7113,0.6204444444444444,0.38776666666666665
2015,7,1.678,0.8112222222222223,0.5070166666666666
2015,8,1.0618,0.9868888888888888,0.6004083333333333
2015,9,0.5424,0.9002444444444444,0.7388499999999999
2015,10,-0.1699,0.8063999999999999,0.7279416666666667
2015,11,0.6954,0.7485,0.8291583333333333
2015,12,-0.0589,0.6560333333333332,0.7140666666666666
2016,1,1.3918,0.696388888888889,0.773825
2016,2,1.0933,0.7716888888888889,0.7635583333333332
2016,3,2.0383,0.9191333333333335,0.8689750000000002
2016,4,0.0969,0.7434555555555555,0.7913333333333333
2016,5,0.0124,0.6268555555555556,0.7577333333333334
2016,6,2.5655,0.8516444444444445,0.9122500000000001
2016,7,0.4066,0.9157000000000001,0.8062999999999999
2016,8,-0.7385,0.7563777777777778,0.656275
2016,9,2.3328,1.0221222222222224,0.805475
2016,10,-0.1772,0.847788888888889,0.8048666666666667
2016,11,-1.5077,0.558788888888889,0.6212750000000001
2016,12,-0.7112,0.2532888888888889,0.5669166666666667
2017,1,-0.9822,0.1333888888888889,0.36908333333333343
2017,2,-0.0149,0.1303555555555556,0.2767333333333334
2017,3,0.1561,-0.13735555555555554,0.11988333333333336
2017,4,0.6192,-0.11373333333333331,0.16340833333333335
2017,5,1.0528,0.08530000000000003,0.2501083333333334
2017,6,0.5464,-0.11318888888888888,0.08185000000000002
2017,7,0.7284,-0.012566666666666651,0.10866666666666669
2017,8,0.7641,0.23985555555555557,0.23388333333333336
2017,9,1.2961,0.4628888888888889,0.1474916666666667
2017,10,-0.5676,0.5089555555555556,0.11495833333333334
2017,11,0.7706,0.5962333333333334,0.3048166666666667
2017,12,0.9839,0.6882111111111111,0.446075
2018,1,1.2752,0.7611,0.6341916666666667
2018,2,1.0411,0.7598,0.7221916666666667
2018,3,0.1405,0.7147000000000001,0.7208916666666667
2018,4,-1.1662,0.5041888888888889,0.5721083333333334
2018,5,-0.0766,0.41077777777777785,0.47799166666666676
2018,6,-0.0119,0.26544444444444454,0.43146666666666667
2018,7,0.3768,0.37037777777777786,0.40216666666666673
2018,8,-0.3428,0.24666666666666673,0.30992500000000006
2018,9,1.4584,0.2993888888888889,0.32345
2018,10,0.5303,0.21662222222222227,0.4149416666666667
2018,11,0.9907,0.21102222222222228,0.4332833333333333
2018,12,0.9299,0.2987333333333334,0.42878333333333335
2019,1,0.6767,0.5035000000000001,0.3789083333333334
2019,2,-0.4996,0.4565,0.25051666666666667
2019,3,0.7446,0.5405555555555556,0.3008583333333334
2019,4,0.3358,0.536,0.42602500000000004
2019,5,0.3346,0.6112666666666667,0.4602916666666667
2019,6,1.465,0.6120000000000001,0.5833666666666667
2019,7,-0.3897,0.5097777777777779,0.5194916666666668
2019,8,-1.0804,0.2796555555555556,0.45802500000000007
2019,9,0.563,0.23888888888888893,0.38340833333333335
2019,10,-0.9252,0.06090000000000008,0.2621166666666667
2019,11,-1.8398,-0.08801111111111104,0.0262416666666667
2019,12,-1.3599,-0.3218444444444444,-0.16457499999999994
2020,1,-0.2312,-0.3848444444444444,-0.24023333333333327
2020,2,0.2746,-0.3915111111111111,-0.1757166666666666
2020,3,1.4264,-0.3958,-0.11889999999999996
2020,4,-0.4752,-0.4053,-0.1864833333333333
2020,5,0.5766,-0.22118888888888888,-0.16631666666666664
2020,6,1.0708,-0.16476666666666667,-0.19916666666666663
2020,7,-0.5464,-0.12267777777777776,-0.212225
2020,8,-0.7205,0.0016888888888889125,-0.18223333333333333
2020,9,0.1943,0.1743777777777778,-0.21295833333333333
2020,10,1.2636,0.3404666666666667,-0.030558333333333316
2020,11,0.8132,0.4003111111111111,0.19052500000000003
2020,12,1.4813,0.4064111111111111,0.4272916666666667
2021,1,1.0446,0.5752777777777778,0.5336083333333334
2021,2,1.3435,0.6604888888888889,0.6226833333333334
2021,3,0.0858,0.5510444444444444,0.5109666666666667
2021,4,0.8274,0.7036888888888888,0.6195166666666667
2021,5,0.3138,0.8186111111111112,0.5976166666666668
2021,6,1.1792,0.9280444444444446,0.60665
2021,7,-0.4595,0.736588888888889,0.6138916666666666
2021,8,-0.2268,0.6210333333333333,0.6550333333333335
2021,9,1.3364,0.6049333333333333,0.7502083333333335
2021,10,0.4532,0.5392222222222222,0.682675
2021,11,1.3211,0.5367333333333334,0.7250000000000001
2021,12,2.1548,0.7666222222222223,0.781125
2022,1,0.8252,0.7663777777777778,0.7628416666666668
2022,2,0.6432,0.8029777777777778,0.7044833333333335
2022,3,0.5584,0.734,0.7438666666666668
2022,4,0.5319,0.8441555555555555,0.7192416666666667
2022,5,0.0965,0.8800777777777777,0.7011333333333334
2022,6,-0.8713,0.6347777777777778,0.5302583333333334
2022,7,0.4467,0.6340555555555556,0.6057750000000001
2022,8,0.7313,0.5685222222222222,0.6856166666666668
2022,9,1.4685,0.49226666666666674,0.696625
2022,10,0.3303,0.43727777777777777,0.6863833333333335
2022,11,1.7134,0.5561888888888888,0.7190750000000001
2022,12,1.7004,0.6830777777777778,0.6812083333333335
2023,1,2.3037,0.8799444444444444,0.8044166666666669
2023,2,0.5536,0.9307333333333333,0.7969500000000002
2023,3,-0.2582,0.9988555555555556,0.7289
2023,4,-0.9207,0.8469222222222222,0.60785
2023,5,1.4518,0.9269777777777778,0.7207916666666668
2023,6,-0.4379,0.7151555555555555,0.7569083333333334
2023,7,-0.8183,0.5875333333333335,0.6514916666666668
2023,8,-0.0382,0.39291111111111116,0.5873666666666667
2023,9,-1.0504,0.08726666666666667,0.3774583333333334
2023,10,0.5352,-0.10923333333333334,0.3945333333333334
2023,11,0.0965,-0.1600222222222222,0.25979166666666675
2023,12,1.51,0.03644444444444445,0.2439250000000001
2024,1,0.922,0.2411888888888889,0.1287833333333334
2024,2,1.0428,0.19574444444444442,0.1695500000000001
2024,3,-0.0579,0.23796666666666663,0.18624166666666675
2024,4,1.0055,0.4406111111111111,0.34675833333333345
2024,5,-0.0731,0.43673333333333325,0.21968333333333342
2024,6,0.2101,0.5767888888888889,0.27368333333333345
2024,7,-0.5969,0.4509999999999999,0.2921333333333334
2024,8,-2.1504,0.20134444444444444,0.11611666666666676
2024,9,0.0978,0.04443333333333336,0.2118000000000001
2024,10,-0.567,-0.12101111111111108,0.11995000000000011
2024,11,1.0195,-0.12359999999999999,0.19686666666666675
2024,12,-0.8259,-0.20893333333333328,0.0022083333333334323
2025,1,-0.0803,-0.32957777777777775,-0.08131666666666658
2025,2,-0.2708,-0.3515444444444444,-0.19078333333333322
2025,3,0.7332,-0.2934222222222222,-0.12485833333333322
2025,4,1.138,-0.10065555555555555,-0.11381666666666657
2025,5,0.5086,0.19478888888888893,-0.06534166666666656
2025,6,0.209,0.2071444444444445,-0.06543333333333323
2025,7,0.7531,0.35382222222222226,0.047066666666666764
2025,8,0.3566,0.28016666666666673,0.2559833333333334
2025,9,-0.7092,0.29313333333333336,0.18873333333333342
2025,10,-1.2362,0.16470000000000004,0.13296666666666676
2025,11,-1.3236,0.04772222222222225,-0.06229166666666658
2025,12,-1.1357,-0.15993333333333332,-0.08810833333333323
2026,1,0.8476,-0.1922,-0.010783333333333228
2026,2,0.4886,-0.1944222222222222,0.0525000000000001
2026,3,0.492,-0.16297777777777775,0.0324000000000001
